Date,AOT
2007-01-03,5.699999999999999
2007-01-04,5.6
2007-01-05,5.45
2007-01-08,5.4
2007-01-09,5.4
2007-01-10,5.35
2007-01-11,5.55
2007-01-12,5.6
2007-01-15,5.65
2007-01-16,5.65
2007-01-17,5.6
2007-01-18,5.6
2007-01-19,5.5
2007-01-22,5.45
2007-01-23,5.25
2007-01-24,5.25
2007-01-25,5.2
2007-01-26,5.1
2007-01-29,4.9
2007-01-30,4.9
2007-01-31,5.0
2007-02-01,5.199999999999999
2007-02-02,5.300000000000001
2007-02-05,5.25
2007-02-06,5.35
2007-02-07,5.4
2007-02-08,5.55
2007-02-09,5.55
2007-02-12,5.55
2007-02-13,5.6
2007-02-14,5.6
2007-02-15,5.55
2007-02-16,5.699999999999999
2007-02-19,5.85
2007-02-20,6.05
2007-02-21,6.25
2007-02-22,6.15
2007-02-23,6.0
2007-02-26,6.0
2007-02-27,6.1
2007-02-28,6.0
2007-03-01,6.0
2007-03-02,5.95
2007-03-06,5.85
2007-03-07,5.85
2007-03-08,5.9
2007-03-09,6.0
2007-03-12,6.1
2007-03-13,6.2
2007-03-14,6.05
2007-03-15,6.1
2007-03-16,6.0
2007-03-19,6.0
2007-03-20,6.0
2007-03-21,6.0
2007-03-22,6.1
2007-03-23,6.2
2007-03-26,6.15
2007-03-27,6.05
2007-03-28,5.85
2007-03-29,5.75
2007-03-30,5.8
2007-04-02,5.8
2007-04-03,5.8
2007-04-04,5.9
2007-04-05,6.0
2007-04-09,6.0
2007-04-10,6.0
2007-04-11,6.0
2007-04-12,5.9
2007-04-17,5.8
2007-04-18,5.9
2007-04-19,5.85
2007-04-20,5.9
2007-04-23,5.9
2007-04-24,5.85
2007-04-25,5.85
2007-04-26,5.95
2007-04-27,5.95
2007-04-30,6.0
2007-05-02,6.0
2007-05-03,6.0
2007-05-04,6.1
2007-05-08,6.0
2007-05-09,6.0
2007-05-10,5.95
2007-05-11,5.85
2007-05-14,5.85
2007-05-15,5.699999999999999
2007-05-16,5.699999999999999
2007-05-17,5.8
2007-05-18,5.8
2007-05-21,5.8
2007-05-22,5.85
2007-05-23,5.85
2007-05-24,5.75
2007-05-25,5.6
2007-05-28,5.699999999999999
2007-05-29,5.699999999999999
2007-05-30,5.65
2007-06-01,5.75
2007-06-04,5.9
2007-06-05,5.8
2007-06-06,5.8
2007-06-07,5.8
2007-06-08,5.8
2007-06-11,5.75
2007-06-12,5.8
2007-06-13,5.75
2007-06-14,5.8
2007-06-15,5.8
2007-06-18,5.85
2007-06-19,5.9
2007-06-20,6.0
2007-06-21,6.0
2007-06-22,5.95
2007-06-25,5.9
2007-06-26,5.95
2007-06-27,5.95
2007-06-28,5.95
2007-06-29,5.95
2007-07-02,6.0
2007-07-03,6.1
2007-07-04,6.25
2007-07-05,6.4
2007-07-06,6.4
2007-07-09,6.5
2007-07-10,6.4
2007-07-11,6.4
2007-07-12,6.4
2007-07-13,6.55
2007-07-16,6.6
2007-07-17,6.449999999999999
2007-07-18,6.25
2007-07-19,6.2
2007-07-20,6.2
2007-07-23,6.2
2007-07-24,6.35
2007-07-25,6.35
2007-07-26,6.4
2007-07-27,6.25
2007-07-31,6.300000000000001
2007-08-01,6.300000000000001
2007-08-02,6.5
2007-08-03,6.5
2007-08-06,6.300000000000001
2007-08-07,6.25
2007-08-08,6.25
2007-08-09,6.300000000000001
2007-08-10,6.2
2007-08-14,6.1
2007-08-15,5.95
2007-08-16,5.75
2007-08-17,5.7
2007-08-20,5.8
2007-08-21,5.75
2007-08-22,5.699999999999999
2007-08-23,5.85
2007-08-24,5.75
2007-08-27,5.699999999999999
2007-08-28,5.6
2007-08-29,5.55
